species	sample_no	depth	w0	w1	w2	w3	w4	z1_1	z1_2	z1_3	z1_4	z1_5	z2_1	z2_2	z2_3	z2_4	z2_5	z3_1	z3_2	z3_3	z3_4	z3_5	z4_1	z4_2	z4_3	z4_4	z4_5	z5_1	z5_2	z5_3	z5_4	z5_5	dil	V_extra	A1	A2	A3	A4	w0_l	wt_l	w1_l	wa_l	wplate0	wplate1	SDS1V	V.prot.slurry	STCZ	STCZX4	STCZX3	STCZX2	STCZX1	STCZE	abs.protZ.blank	abs.prot.zoox1	abs.prot.zoox2	abs.prot.zoox3	STCH	STCHX4	STCHX3	STCHX2	STCHX1	STCHE	abs.protH.blank	abs.prot.host1	abs.prot.host2	abs.prot.host3	H15N	H13C	A15N	A13C	H.C.N	A.C.N
Stereonephthya sp.	SC190001	10	0.0896	0.119	0.114	1.0663	1.0804	19	21	18	16	19	30	18	24	16	23	12	28	27	22	30	22	19	21	20	24	22	21	15	17	29	13	10	0.002	0.051	0.017	0.021	0.1074	0.365	0.1341	0.1293	1.1218	1.1283	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.3278	1.3116	1.2494	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.4348	0.4405	0.4195	NA	-23.223	5.584	-19.063	NA	4.179780677
Stereonephthya sp.	SC190003	10	0.0904	0.1183	0.113	1.0231	1.037	44	28	46	36	25	23	34	26	40	37	40	29	35	37	36	29	23	44	32	41	24	35	39	27	31	10	10	0.002	0.087	0.027	0.031	0.1349	0.5006	0.1649	0.1601	1.1229	1.1326	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.1962	1.2228	1.501	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.4517	0.4468	0.4502	5.201	-22.459	5.429	-19.305	6.729733391	5.079605865
Stereonephthya sp.	SC190010	10	0.0921	0.1248	0.1185	1.086	1.0999	26	27	30	25	31	23	27	33	20	24	22	27	15	20	19	33	14	25	34	23	21	21	27	28	25	10	10	0.001	0.06	0.019	0.023	0.1299	0.3979	0.1663	0.1592	1.1415	1.147	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.2268	1.1473	1.1868	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.3855	0.384	0.3779	4.943	-22.25	4.984	-19.175	6.516449671	4.633353094
Stereonephthya sp.	SC190012	10	0.0895	0.1185	0.1124	1.0986	1.1098	24	28	31	23	23	29	27	33	25	18	31	27	30	17	27	24	38	30	33	30	31	22	24	21	26	12	10	0.002	0.064	0.021	0.026	0.1112	0.3789	0.1386	0.1331	1.1385	1.149	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	0.9875	1.0283	1.1458	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.4615	0.4791	0.4454	5.428	-21.6	5.526	-18.871	6.358934658	5.527952656
Stereonephthya sp.	SC190013	10	0.0909	0.1179	0.1125	1.0339	1.0452	20	16	26	19	17	19	27	20	22	26	16	23	25	28	23	23	24	26	14	23	12	18	22	32	31	10	10	0.002	0.042	0.014	0.017	0.1357	0.3504	0.1523	0.1488	1.131	1.1375	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.2152	1.1884	1.2713	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.3782	0.3994	0.3988	5.194	-21.193	5.378	-19.06	8.188898426	5.006135937
Stereonephthya sp.	SC190014	10	0.0907	0.1177	0.1116	1.0808	1.0908	27	31	23	24	28	20	28	24	42	31	27	26	29	21	28	24	27	32	14	33	19	23	29	31	23	10	10	0.001	0.079	0.024	0.029	0.1506	0.3684	0.1716	0.1662	1.1355	1.143	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.3015	1.0285	1.153	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.5143	0.5187	0.5291	5.044	-21.747	5.374	-18.735	5.960083112	4.886322165
Stereonephthya sp.	SC190018	10	0.0923	0.1202	0.1147	1.0541	1.0671	24	19	15	20	15	13	15	11	18	14	20	17	20	16	19	21	13	20	27	18	18	12	27	21	17	10	10	0.004	0.057	0.02	0.022	0.182	0.4815	0.196	0.1934	1.1363	1.1422	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.2252	0.8792	1.0428	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.3419	0.3376	0.3408	5.285	-20.999	5.641	-18.645	5.735353821	4.976945161
Stereonephthya sp.	SC190019	10	0.0893	0.1173	0.1119	1.0825	1.093	22	15	20	11	16	12	13	16	17	10	18	20	14	21	14	20	17	27	19	21	21	22	15	11	17	8	10	0	0.048	0.014	0.018	0.1995	0.49	0.2219	0.2164	1.1279	1.1354	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	0.7996	0.9713	1.2572	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.3036	0.3181	0.33	5.051	-21.822	5.187	-18.263	9.41890614	5.329686646
Stereonephthya sp.	SC190020	10	0.0895	0.1174	0.1128	1.0518	1.0642	14	26	22	21	26	31	23	19	15	11	17	12	18	19	16	28	17	26	18	18	14	13	22	22	26	8	10	0.002	0.041	0.014	0.017	0.1777	0.4938	0.1995	0.196	1.1188	1.1247	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	1.2722	1.2248	1.3271	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.3105	0.3142	0.3215	5.04	-20.731	NA	-19.089	8.690992321	NA
Stereonephthya sp.	SC190021	10	0.0894	0.1187	0.1139	1.0961	1.1082	18	19	22	20	29	26	31	32	35	35	21	23	25	26	24	24	26	29	16	29	15	33	28	26	21	7	10	0	0.048	0.014	0.018	0.1723	0.4325	0.186	0.1836	1.1342	1.14	2	5	5/23/2019	-77.588	269.46	-169.82	912.56	-84.467	0.088	0.7287	0.7396	0.789	5/30/2019	-929.45	3126.3	-2964.6	1825.8	-122.45	0.0745	0.6994	0.7099	0.7331	5.5	-21.46	5.52	-18.578	8.105394401	4.328505368
